recurso;mascara;id_documento;status;Entidad
IP;200.13.192.0/19;CO-COSA-LACNIC;ALLOCATED;LACNIC
;;;;
;;;;
IP;200.9.32.0/19;CR-CRNE-LACNIC;ALLOCATED;LACNIC
IP;200.9.75.0/24;AR-CNAE-LACNIC;ASSIGNED;LACNIC
IP;200.16.80.0/22;AR-CNAE-LACNIC;ASSIGNED;LACNIC
IP;200.13.0.0/21;CL-PEUL-LACNIC;ASSIGNED;LACNIC
IP;200.6.25.0/24;EC-SACO-LACNIC;ASSIGNED;LACNIC
IP;200.14.8.0/21;VE-CAFO1-LACNIC;ALLOCATED;LACNIC
IP;200.0.169.0/24;PE-COAM-LACNIC;ASSIGNED;LACNIC
IP;200.3.160.0/21;CO-FNCA-LACNIC;ASSIGNED;LACNIC
IP;200.12.64.0/18;MX-EYCS-LACNIC;ASSIGNED;LACNIC
IP;200.0.94.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.0.137.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.0.138.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.0.216.0/21;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.1.160.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.5.0.0/21;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.5.8.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.5.11.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.9.82.0/23;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.9.115.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.152.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.155.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.160.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.165.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.166.0/24;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.12.168.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.12.224.0/20;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.15.0.0/16;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.16.88.0/24;US-ARIN-LACNIC;ASSIGNED;LACNIC
IP;200.30.0.0/18;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.50.0.0/19;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.50.64.0/19;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.50.128.0/20;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.58.0.0/18;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.62.0.0/18;US-ARIN-LACNIC;ALLOCATED;LACNIC
IP;200.10.232.0/24;CL-SIIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.251.0/24;CL-SIIN-LACNIC;ASSIGNED;LACNIC
IP;200.10.252.0/23;CL-SIIN-LACNIC;ASSIGNED;LACNIC
IP;200.1.154.0/24;DO-INSA-LACNIC;ASSIGNED;LACNIC
IP;167.157.0.0/16;BO-BANE-LACNIC;ASSIGNED;LACNIC
IP;200.13.112.0/20;MX-BMVS-LACNIC;ASSIGNED;LACNIC
IP;200.4.12.0/23;MX-GSCV4-LACNIC;ASSIGNED;LACNIC
;;;;
;;;;
IP;200.33.177.0/24;MX-GSCV3-LACNIC;ASSIGNED;LACNIC
IP;200.10.188.0/24;PE-UNLI-LACNIC;ASSIGNED;LACNIC
IP;200.11.48.0/20;PE-UNLI-LACNIC;ASSIGNED;LACNIC
IP;200.14.128.0/18;CL-CBCH-LACNIC;ASSIGNED;LACNIC
IP;200.0.118.0/23;PE-UPCA-LACNIC;ASSIGNED;LACNIC
IP;200.1.140.0/22;CL-CNSE-LACNIC;ASSIGNED;LACNIC
IP;200.6.33.0/24;CL-CNSE-LACNIC;ASSIGNED;LACNIC
IP;200.10.16.0/21;CL-ULFR-LACNIC;ASSIGNED;LACNIC
IP;200.10.24.0/22;CL-ULFR-LACNIC;ASSIGNED;LACNIC
IP;200.24.8.0/24;CO-UNCS-LACNIC;ASSIGNED;LACNIC
IP;166.75.0.0/16;CL-CTCS11-LACNIC;ASSIGNED;LACNIC
;;;;
IP;200.6.13.0/24;EC-ENSA-LACNIC;ASSIGNED;LACNIC
IP;200.26.0.0/17;AR-STSA1-LACNIC;ALLOCATED;LACNIC
IP;200.32.128.0/19;AR-STSA1-LACNIC;ALLOCATED;LACNIC
IP;200.10.194.0/24;BZ-UCOB-LACNIC;ASSIGNED;LACNIC
IP;200.6.24.0/24;EC-ECEI-LACNIC;ASSIGNED;LACNIC
IP;200.9.248.0/24;EC-ECEI-LACNIC;ASSIGNED;LACNIC
IP;148.211.0.0/16;MX-UAAG-LACNIC;ASSIGNED;LACNIC
IP;148.228.0.0/16;MX-BUAP1-LACNIC;ASSIGNED;LACNIC
IP;200.6.21.0/24;EC-ECEI1-LACNIC;ASSIGNED;LACNIC
IP;200.0.66.0/24;CL-CONA-LACNIC;ASSIGNED;LACNIC
